conta_codigo,conta_nome,fil,data,lot,documento,item,cpart,historico,debito,credito,saldo_atual
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,007,2025-01-02,CGS,0000000003,0002,00540,SAIDA DA CTE N. 28983-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,1059.6,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,009,2025-01-02,CGS,0000000003,0004,00540,SAIDA DA NFP N. 9201-1 - CLIENTE ARCELOR MITTAL BRASIL S.A.,,1251.43,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,007,2025-01-02,CGS,0000000004,0002,01497,SAIDA DA CTE N. 28984-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,6411.43,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,009,2025-01-02,CGS,0000000004,0004,00540,SAIDA DA NFP N. 9202-1 - CLIENTE ARCELOR MITTAL BRASIL S.A.,,1286.07,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000005,0002,00505,SAIDA DA CTE N. 77768-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,1422.43,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,007,2025-01-02,CGS,0000000005,0002,01497,SAIDA DA CTE N. 28985-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,6187.54,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,009,2025-01-02,CGS,0000000005,0004,00540,SAIDA DA NFP N. 9203-1 - CLIENTE ARCELOR MITTAL BRASIL S.A.,,1543.18,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,007,2025-01-02,CGS,0000000006,0002,00540,SAIDA DA CTE N. 28986-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,271.18,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000006,0004,00541,SAIDA DA NFP N. 12192-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,1250.0,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,009,2025-01-02,CGS,0000000006,0004,00540,SAIDA DA NFP N. 9204-1 - CLIENTE ARCELOR MITTAL BRASIL S.A.,,1547.96,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,007,2025-01-02,CGS,0000000007,0002,00540,SAIDA DA CTE N. 28987-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,488.12,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000007,0004,00541,SAIDA DA NFP N. 12193-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,1250.0,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,009,2025-01-02,CGS,0000000007,0004,00540,SAIDA DA NFP N. 9205-1 - CLIENTE ARCELOR MITTAL BRASIL S.A.,,386.06,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,007,2025-01-02,CGS,0000000008,0002,00540,SAIDA DA CTE N. 28988-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,135.59,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000008,0004,00541,SAIDA DA NFP N. 12194-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,1392.0,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,009,2025-01-02,CGS,0000000008,0004,01637,SAIDA DA NFP N. 9206-1 - CLIENTE ARCELOR MITTAL BRASIL S.A.,,231.69,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000009,0002,01529,SAIDA DA CTE N. 77754-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,1752.56,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,007,2025-01-02,CGS,0000000009,0002,00540,SAIDA DA CTE N. 28989-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,2786.84,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,009,2025-01-02,CGS,0000000009,0004,01637,SAIDA DA NFP N. 9207-1 - CLIENTE ARCELOR MITTAL BRASIL S.A.,,117.41,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000010,0002,01529,SAIDA DA CTE N. 77755-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,341.63,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,007,2025-01-02,CGS,0000000010,0002,01554,SAIDA DA CTE N. 28990-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,1207.36,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,009,2025-01-02,CGS,0000000010,0004,01637,SAIDA DA NFP N. 9208-1 - CLIENTE ARCELOR MITTAL BRASIL S.A.,,237.04,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000011,0002,00523,SAIDA DA CTE N. 77756-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,2941.47,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,007,2025-01-02,CGS,0000000011,0002,01554,SAIDA DA CTE N. 28991-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,201.35,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,009,2025-01-02,CGS,0000000011,0004,01637,SAIDA DA NFP N. 9209-1 - CLIENTE ARCELOR MITTAL BRASIL S.A.,,140.46,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000012,0002,01529,SAIDA DA CTE N. 77757-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,385.23,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,007,2025-01-02,CGS,0000000012,0002,01554,SAIDA DA CTE N. 28992-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,2414.95,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000013,0002,01529,SAIDA DA CTE N. 77758-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,1469.48,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,007,2025-01-02,CGS,0000000013,0002,01554,SAIDA DA CTE N. 28993-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,201.16,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000014,0002,01529,SAIDA DA CTE N. 77759-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,367.93,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,007,2025-01-02,CGS,0000000014,0002,01554,SAIDA DA CTE N. 28994-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,201.35,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000015,0002,01529,SAIDA DA CTE N. 77760-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,373.51,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,007,2025-01-02,CGS,0000000015,0002,01554,SAIDA DA CTE N. 28995-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,603.49,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000016,0002,01529,SAIDA DA CTE N. 77761-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,973.47,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,007,2025-01-02,CGS,0000000016,0002,01510,SAIDA DA CTE N. 28996-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,4008.22,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000017,0002,01529,SAIDA DA CTE N. 77762-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,541.11,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,007,2025-01-02,CGS,0000000017,0002,00506,SAIDA DA CTE N. 28997-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,3980.68,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000018,0002,01529,SAIDA DA CTE N. 77763-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,139.2,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,007,2025-01-02,CGS,0000000018,0002,00522,SAIDA DA CTE N. 28998-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,146.61,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000019,0002,01529,SAIDA DA CTE N. 77764-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,135.28,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,007,2025-01-02,CGS,0000000019,0002,00522,SAIDA DA CTE N. 28999-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,295.11,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000020,0002,01529,SAIDA DA CTE N. 77765-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,106.02,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,007,2025-01-02,CGS,0000000020,0002,00522,SAIDA DA CTE N. 29000-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,146.34,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000021,0002,01529,SAIDA DA CTE N. 77766-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,67.91,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,007,2025-01-02,CGS,0000000021,0002,00522,SAIDA DA CTE N. 29002-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,1464.94,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000022,0002,01529,SAIDA DA CTE N. 77767-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,133.17,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,007,2025-01-02,CGS,0000000022,0002,00522,SAIDA DA CTE N. 29003-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,1067.07,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000023,0002,01529,SAIDA DA CTE N. 77769-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,86.43,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000024,0002,01529,SAIDA DA CTE N. 77770-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,43.1,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000025,0002,01529,SAIDA DA CTE N. 77771-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,82.0,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000026,0002,01529,SAIDA DA CTE N. 77772-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,233.11,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000027,0002,01529,SAIDA DA CTE N. 77773-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,92.01,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000028,0002,01529,SAIDA DA CTE N. 77774-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,156.04,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000029,0002,01529,SAIDA DA CTE N. 77775-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,3390.05,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000030,0002,00541,SAIDA DA CTE N. 77776-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,1079.26,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000031,0002,01554,SAIDA DA CTE N. 77777-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,577.18,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-02,CGS,0000000032,0002,01637,SAIDA DA CTE N. 87996-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,3769.57,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000032,0002,00542,SAIDA DA CTE N. 77778-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,3842.22,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-02,CGS,0000000033,0002,01637,SAIDA DA CTE N. 87991-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,10734.24,,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000033,0002,01601,SAIDA DA CTE N. 77779-1 - CLIENTE BMB BE LGO MINEIRA BEKAERT ARTEFATOS DE ARAME LT DA,,1704.55,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-02,CGS,0000000034,0002,01637,SAIDA DA CTE N. 87992-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,7557.26,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000034,0002,00547,SAIDA DA CTE N. 77780-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,3766.28,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-02,CGS,0000000035,0002,01637,SAIDA DA CTE N. 87993-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,1875.54,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000035,0002,00547,SAIDA DA CTE N. 77781-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,816.92,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-02,CGS,0000000036,0002,01637,SAIDA DA CTE N. 87994-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,8904.46,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000036,0002,00512,SAIDA DA CTE N. 77782-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,1430.63,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-02,CGS,0000000037,0002,01637,SAIDA DA CTE N. 87995-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,4239.39,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000037,0002,00512,SAIDA DA CTE N. 77783-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,709.98,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-02,CGS,0000000038,0002,01637,SAIDA DA CTE N. 87997-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,8024.25,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000038,0002,00530,SAIDA DA CTE N. 77784-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,1227.4,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-02,CGS,0000000039,0002,00538,SAIDA DA CTE N. 87998-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,4055.73,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000039,0002,00512,SAIDA DA CTE N. 77785-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,6443.84,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-02,CGS,0000000040,0002,01637,SAIDA DA CTE N. 87999-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,7533.73,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000040,0002,01554,SAIDA DA CTE N. 77786-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,1554.06,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-02,CGS,0000000041,0002,00538,SAIDA DA CTE N. 88000-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,1057.22,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000041,0002,01554,SAIDA DA CTE N. 77787-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,542.55,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-02,CGS,0000000042,0002,00538,SAIDA DA CTE N. 88001-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,1136.85,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000042,0002,00544,SAIDA DA CTE N. 77788-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,18403.01,,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-02,CGS,0000000043,0002,01637,SAIDA DA CTE N. 88002-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,225.99,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000043,0004,02843,SAIDA DA NFP N. 12195-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,1114.36,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-02,CGS,0000000044,0002,01637,SAIDA DA CTE N. 88003-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,2194.42,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000044,0002,00541,SAIDA DA CTE N. 77789-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,1663.14,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-02,CGS,0000000045,0002,01637,SAIDA DA CTE N. 88004-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,1235.38,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000045,0002,00541,SAIDA DA CTE N. 77790-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,4574.72,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-02,CGS,0000000046,0002,02504,SAIDA DA CTE N. 88005-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,3658.89,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000046,0002,00541,SAIDA DA CTE N. 77791-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,1079.26,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-02,CGS,0000000047,0002,00538,SAIDA DA CTE N. 88006-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,453.28,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000047,0002,00541,SAIDA DA CTE N. 77792-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,1079.26,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-02,CGS,0000000048,0002,00538,SAIDA DA CTE N. 88007-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,453.97,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000048,0002,00540,SAIDA DA CTE N. 77793-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,3909.09,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-02,CGS,0000000049,0002,00538,SAIDA DA CTE N. 88009-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,112.35,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000049,0002,00541,SAIDA DA CTE N. 77794-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,1079.26,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-02,CGS,0000000050,0002,00538,SAIDA DA CTE N. 88011-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,350.93,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000050,0002,00541,SAIDA DA CTE N. 77795-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,1079.26,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-02,CGS,0000000051,0002,00538,SAIDA DA CTE N. 88012-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,314.7,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000051,0002,00541,SAIDA DA CTE N. 77796-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,7897.99,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-02,CGS,0000000052,0002,00538,SAIDA DA CTE N. 88013-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,388.35,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,003,2025-01-02,CGS,0000000052,0002,00541,SAIDA DA CTE N. 77797-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,4648.43,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-02,CGS,0000000053,0002,00538,SAIDA DA CTE N. 88014-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,406.62,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-02,CGS,0000000054,0002,00538,SAIDA DA CTE N. 88015-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,4509.62,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-02,CGS,0000000055,0002,00538,SAIDA DA CTE N. 88016-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,379.58,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-02,CGS,0000000056,0002,00538,SAIDA DA CTE N. 88017-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,4934.76,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-02,CGS,0000000057,0002,01637,SAIDA DA CTE N. 88018-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,4667.55,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-02,CGS,0000000058,0002,01637,SAIDA DA CTE N. 88019-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,4533.89,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-02,CGS,0000000059,0002,00538,SAIDA DA CTE N. 88020-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,3687.69,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-02,CGS,0000000060,0002,01637,SAIDA DA CTE N. 88021-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,4252.68,
00230.5,PRESTAÇÃO DE SERVIÇOS - TRANSPORTE DE CARGAS,002,2025-01-02,CGS,0000000061,0002,00538,SAIDA DA CTE N. 88022-1 - CLIENTE ARCELO RMITTAL BRASIL S.A.,,2433.83,
